"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
7393,"0NC7","small_airport","Lindsay Airport",36.357200622558594,-79.99749755859375,700,"NA","US","US-NC","Madison","no","0NC7",,"0NC7",,,
7394,"0NC8","small_airport","Double Creek Ranch Airport",35.755699157714844,-80.73529815673828,830,"NA","US","US-NC","Cleveland","no","0NC8",,"0NC8",,,
7395,"0NC9","heliport","Maria Parham Hospital Heliport",36.3306999206543,-78.44969940185547,465,"NA","US","US-NC","Henderson","no","0NC9",,"0NC9",,,
7396,"0ND0","small_airport","Gilbertson Field",47.92919921875,-99.40039825439453,1550,"NA","US","US-ND","Flora","no","0ND0",,"0ND0",,,
7397,"0ND6","small_airport","Schumacher Strip",46.05500030517578,-99.91709899902344,2020,"NA","US","US-ND","Hague","no","0ND6",,"0ND6",,,
7398,"0ND7","small_airport","Saville Private Airport",46.465301513671875,-100.1050033569336,1961,"NA","US","US-ND","Hazelton","no","0ND7",,"0ND7",,,
7399,"0NE0","small_airport","Merrihew Airport",41.849998474121094,-101.94999694824219,3815,"NA","US","US-NE","Ashby","no","0NE0",,"0NE0",,,
7400,"0NE1","small_airport","Runner Landing Area Airport",42.40719985961914,-101.93199920654297,3760,"NA","US","US-NE","Ashby","no","0NE1",,"0NE1",,,
7401,"0NE2","small_airport","Merry Airport",41.866600036621094,-101.91699981689453,3791,"NA","US","US-NE","Ashby","no","0NE2",,"0NE2",,,
7402,"0NE3","heliport","Syracuse Hospital Heliport",40.667198181152344,-96.1864013671875,1120,"NA","US","US-NE","Syracuse","no","0NE3",,"0NE3",,,
7403,"0NE4","heliport","Franklin County Memorial Hospital Heliport",40.097198486328125,-98.95040130615234,1950,"NA","US","US-NE","Franklin","no","0NE4",,"0NE4",,,
7404,"0NE5","small_airport","Newman Airport",41.02109909057617,-102.01799774169922,3525,"NA","US","US-NE","Big Springs","no","0NE5",,"0NE5",,,
7405,"0NE6","small_airport","Frager Field",40.43330001831055,-98.07060241699219,1765,"NA","US","US-NE","Fairfield","no","0NE6",,"0NE6",,,
7406,"0NJ0","heliport","Atlantic City Medical Center Heliport",39.3589702498,-74.4346717,82,"NA","US","US-NJ","Atlantic City","no","0NJ0",,"0NJ0",,,
7407,"0NJ1","heliport","Berkeley Township Police Heliport",39.90729904174805,-74.23490142822266,54,"NA","US","US-NJ","Bayville","no","0NJ1",,"0NJ1",,,
7408,"0NJ2","heliport","Ballymere Heliport",40.752899169921875,-74.43990325927734,280,"NA","US","US-NJ","Morristown","no","0NJ2",,"0NJ2",,,
7409,"0NJ3","heliport","Mount Holly Heliport",39.966800689697266,-74.79959869384766,45,"NA","US","US-NJ","Mount Holly","no","0NJ3",,"0NJ3",,,
7410,"0NJ4","heliport","Weichert Headquarters Heliport",40.94070053100586,-74.46150207519531,103,"NA","US","US-NJ","Morris Plains","no","0NJ4",,"0NJ4",,,
7411,"0NJ5","small_airport","Fla-Net Airport",40.88589859008789,-74.70570373535156,1040,"NA","US","US-NJ","Netcong","no","0NJ5",,"0NJ5",,,
7412,"0NJ6","small_airport","Dix Field",39.31679916381836,-74.63289642333984,8,"NA","US","US-NJ","Linwood","no","0NJ6",,"0NJ6",,,
7413,"0NJ7","heliport","Essex Generating Station Heliport",40.73780059814453,-74.118896484375,8,"NA","US","US-NJ","Newark","no","0NJ7",,"0NJ7",,,
7414,"0NJ8","heliport","Port Newark Helistop",40.702301025390625,-74.15070343017578,10,"NA","US","US-NJ","Newark","no","0NJ8",,"0NJ8",,,
7415,"0NJ9","heliport","Jersey Tpke New Brunswick Helistop",40.477298736572266,-74.40789794921875,70,"NA","US","US-NJ","New Brunswick","no","0NJ9",,"0NJ9",,,
7416,"0NK0","small_airport","Berdick Field",42.33399963378906,-78.79090118408203,1690,"NA","US","US-NY","Cattaraugus","no","0NK0",,"0NK0",,,
7417,"0NK1","small_airport","Spring Brook Airport",43.361698150634766,-76.22019958496094,450,"NA","US","US-NY","Central Square","no","0NK1",,"0NK1",,,
7418,"0NK2","small_airport","Westwind Farm Airport",42.9833984375,-74.01619720458984,800,"NA","US","US-NY","Charlton","no","0NK2",,"0NK2",,,
7419,"0NK3","small_airport","Seven Gullies Airport",42.695899963378906,-77.79219818115234,600,"NA","US","US-NY","Groveland","no","0NK3",,"0NK3",,,
7420,"0NK4","heliport","Medical Center Heliport",40.72589874267578,-73.55370330810547,80,"NA","US","US-NY","Hempstead","no","0NK4",,"0NK4",,,
7421,"0NK5","heliport","Mid-Hudson Helicopter Service Heliport",41.606201171875,-73.82759857177734,270,"NA","US","US-NY","Hopewell Junction","no","0NK5",,"0NK5",,,
7422,"0NK6","small_airport","Lapeer Flyer Airport",42.43840026855469,-76.08879852294922,1280,"NA","US","US-NY","Marathon","no","0NK6",,"0NK6",,,
7423,"0NK7","heliport","Ibm King St Heliport",41.102500915527344,-73.7260971069336,470,"NA","US","US-NY","Armonk","no","0NK7",,"0NK7",,,
7424,"0NK8","small_airport","Rocky Reef Farm Airport",41.9208984375,-73.67040252685547,450,"NA","US","US-NY","Attlebury","no","0NK8",,"0NK8",,,
7425,"0NK9","small_airport","Lakeview Airport",43.01029968261719,-75.82689666748047,1050,"NA","US","US-NY","Chittenango","no","0NK9",,"0NK9",,,
7426,"0NM0","small_airport","Columbus Municipal Airport",31.823699951171875,-107.62699890136719,4024,"NA","US","US-NM","Columbus","no","0NM0",,"0NM0",,,
7427,"0NM7","small_airport","Negrito Airstrip",33.52090072631836,-108.54299926757812,8143,"NA","US","US-NM","Reserve","no","0NM7",,"0NM7",,,
7428,"0NV1","heliport","Summerlin Medical Center Heliport",36.193599700927734,-115.3010025024414,2745,"NA","US","US-NV","Las Vegas","no","0NV1",,"0NV1",,,
7429,"0NY0","small_airport","Bennetts Airport",43.70009994506836,-73.98290252685547,1040,"NA","US","US-NY","North Creek","no","0NY0",,"0NY0",,,
7430,"0NY1","small_airport","Russell Field",43.139198303222656,-73.6531982421875,260,"NA","US","US-NY","Northumberland","no","0NY1",,"0NY1",,,
7431,"0NY3","small_airport","Kermizian Airport",43.31399917602539,-74.93209838867188,1440,"NA","US","US-NY","Ohio","no","0NY3",,"0NY3",,,
7432,"0NY5","heliport","State Police Troop D Heliport",43.094200134277344,-75.64959716796875,507,"NA","US","US-NY","Oneida","no","0NY5",,"0NY5",,,
7433,"0NY6","heliport","New York State Police Heliport",42.92839813232422,-76.6155014038086,600,"NA","US","US-NY","Auburn","no","0NY6",,"0NY6",,,
7434,"0NY7","small_airport","Murphys Landing Strip",43.037601470947266,-74.1843032836914,940,"NA","US","US-NY","Perth","no","0NY7",,"0NY7",,,
7435,"0NY8","small_airport","Wenskoski Field",42.99729919433594,-74.24539947509766,800,"NA","US","US-NY","Perth","no","0NY8",,"0NY8",,,
7436,"0O0","seaplane_base","San Luis Reservoir Seaplane Base",37.05830001831055,-121.1259994506836,544,"NA","US","US-CA","Los Banos","no","0O0",,"0O0",,,
7437,"0O4","small_airport","Corning Municipal Airport",39.943599700927734,-122.1709976196289,292,"NA","US","US-CA","Corning","no","0O4",,"0O4",,"http://en.wikipedia.org/wiki/Corning_Municipal_Airport_(California)",
7438,"0O9","small_airport","Ward Field",41.845699310302734,-123.98500061035156,356,"NA","US","US-CA","Gasquet","no","0O9",,"0O9",,,
7439,"0OH1","heliport","Cirino Heliport",41.44390106201172,-81.32759857177734,1250,"NA","US","US-OH","Chagrin Falls","no","0OH1",,"0OH1",,,
7440,"0OH2","small_airport","Jenkins Field",39.97060012817383,-83.9115982055664,1080,"NA","US","US-OH","North Hampton","no","0OH2",,"0OH2",,,
7441,"0OH3","heliport","Hamilton County Sheriff's Patrol Heliport",39.27920150756836,-84.564697265625,865,"NA","US","US-OH","Forest Park","no","0OH3",,"0OH3",,,
7442,"0OH6","small_airport","Fry Field",39.60060119628906,-84.01969909667969,775,"NA","US","US-OH","Spring Valley","no","0OH6",,"0OH6",,,
7443,"0OH7","small_airport","Apple Airport",40.1432991027832,-84.1718978881836,1000,"NA","US","US-OH","Piqua","no","0OH7",,"0OH7",,,
7444,"0OH8","small_airport","Fry Airport",40.18840026855469,-84.256103515625,900,"NA","US","US-OH","Piqua","no","0OH8",,"0OH8",,,
7445,"0OH9","small_airport","Parknavy STOLport",40.07170104980469,-83.22989654541016,943,"NA","US","US-OH","Plain City","no","0OH9",,"0OH9",,,
7446,"0OI0","heliport","Foltz Heliport",40.73590087890625,-81.2468032836914,1012,"NA","US","US-OH","East Canton","no","0OI0",,"0OI0",,,
7447,"0OI1","heliport","Autolite Heliport",41.17919921875,-83.41519927978516,759,"NA","US","US-OH","Fostoria","no","0OI1",,"0OI1",,,
7448,"0OI2","small_airport","Unger Field",39.359798431396484,-83.4177017211914,940,"NA","US","US-OH","Greenfield","no","0OI2",,"0OI2",,,
7449,"0OI3","small_airport","Galloway Airport",41.38209915161133,-82.71610260009766,643,"NA","US","US-OH","Sandusky","no","0OI3",,"0OI3",,,
7450,"0OI4","small_airport","Salt Box Airport",41.32426452636719,-81.15930938720703,1250,"NA","US","US-OH","Hiram","no","0OI4",,"0OI4",,,
7451,"0OI6","small_airport","Victor's Landing Airport",41.83810043334961,-80.6436996459961,860,"NA","US","US-OH","Kingsville","no","0OI6",,"0OI6",,,
7452,"0OI9","small_airport","Hidden Quarry Airport",38.894500732421875,-83.1135025024414,830,"NA","US","US-OH","Lucasville","no","0OI9",,"0OI9",,,
7453,"0OK0","small_airport","Edmond Airport",35.68339920043945,-97.43360137939453,1169,"NA","US","US-OK","Edmond","no","0OK0",,"0OK0",,,
7454,"0OK1","small_airport","Mckey Airport",34.65700149536133,-97.40170288085938,1056,"NA","US","US-OK","Elmore City","no","0OK1",,"0OK1",,,
7455,"0OK2","heliport","Parkview Hospital Heliport",35.52980041503906,-97.98390197753906,1349,"NA","US","US-OK","El Reno","no","0OK2",,"0OK2",,,
7456,"0OK3","small_airport","Mckinley Ranch Airport",35.6194992065,-98.5225982666,1420,"NA","US","US-OK","Geary","no","0OK3",,"0OK3",,,
7457,"0OK4","small_airport","Rock Creek Farm Airport",34.66059875488281,-96.25360107421875,730,"NA","US","US-OK","Coal Gate","no","0OK4",,"0OK4",,,
7458,"0OK5","small_airport","Chappell Airport",35.88890075683594,-97.40029907226562,1070,"NA","US","US-OK","Guthrie","no","0OK5",,"0OK5",,,
7459,"0OK6","small_airport","Ellis/Harvey Airport",35.801700592041016,-97.38610076904297,1220,"NA","US","US-OK","Guthrie","no","0OK6",,"0OK6",,,
7460,"0OK7","heliport","Shattuck Hospital Heliport",36.25,-99.87539672851562,2200,"NA","US","US-OK","Shattuck","no","0OK7",,"0OK7",,,
7461,"0OK8","small_airport","Cade's Airport",36.29249954223633,-97.59310150146484,1140,"NA","US","US-OK","Covington","no","0OK8",,"0OK8",,,
7462,"0OK9","small_airport","Crystal Airport",36.213401794433594,-96.63700103759766,1016,"NA","US","US-OK","Jennings","no","0OK9",,"0OK9",,,
7463,"0OR0","heliport","Providence Hospital Heliport",42.3386993408,-122.861999512,1350,"NA","US","US-OR","Medford","no","0OR0",,"0OR0",,"http://en.wikipedia.org/wiki/Providence_Hospital_Heliport",
7465,"0OR2","heliport","Hendershots Heliport",42.133201599121094,-123.45099639892578,1200,"NA","US","US-OR","Merlin","no","0OR2",,"0OR2",,,
7466,"0OR3","small_airport","Long Ranch Airport",42.01900100708008,-121.7040023803711,4090,"NA","US","US-OR","Merrill","no","0OR3",,"0OR3",,,
7467,"0OR4","heliport","Round Butte Heliport",44.61650085449219,-121.26799774169922,2125,"NA","US","US-OR","Metolius","no","0OR4",,"0OR4",,,
7468,"0OR5","small_airport","East Oregon Cattle Co Airport",42.5035018921,-122.855003357,1345,"NA","US","US-OR","Eagle Point","no","0OR5",,"0OR5",,,
7469,"0OR6","small_airport","Rome Service Airport",42.83399963378906,-117.62899780273438,3387,"NA","US","US-OR","Rome","no","0OR6",,"0OR6",,,
7470,"0OR7","small_airport","Marr Field",44.854000091552734,-123.26399993896484,275,"NA","US","US-OR","Monmouth","no","0OR7",,"0OR7",,,
7471,"0OR8","small_airport","Sutton on Rogue Airport",42.484798431396484,-122.86599731445312,1260,"NA","US","US-OR","White City","no","0OR8",,"0OR8",,,
7472,"0OR9","small_airport","Hanel Field",45.59260177612305,-121.54900360107422,1626,"NA","US","US-OR","Mount Hood","no","0OR9",,"0OR9",,,
7473,"0P0","heliport","Valley Forge Bicentennial Heliport",40.12120056152344,-75.40599822998047,260,"NA","US","US-PA","Norristown","no","0P0",,"0P0",,,
7474,"0P1","small_airport","Van Pak Airport",39.83219909667969,-99.5687026977539,2213,"NA","US","US-KS","Prairie View","no","0P1",,"0P1",,,
7475,"0P2","small_airport","Shoestring Aviation Airfield",39.7947998046875,-76.64720153808594,1000,"NA","US","US-PA","Stewartstown","no","0P2",,"0P2",,,
7476,"0PA0","small_airport","Philadelphia Gliderport",40.328399658203125,-75.24130249023438,670,"NA","US","US-PA","Hilltown","no","0PA0",,"0PA0",,,
7477,"0PA1","heliport","Phoenix Technologies Heliport",40.11819839477539,-75.40129852294922,252,"NA","US","US-PA","Norristown","no","0PA1",,"0PA1",,,
7478,"0PA2","small_airport","Haunstein Ultralightport",40.31679916379999,-77.1247024536,600,"NA","US","US-PA","Shermans Dale","no","0PA2",,"0PA2",,,
7479,"0PA3","small_airport","Robbins Farm Airport",41.7495002746582,-76.76020050048828,1207,"NA","US","US-PA","Troy","no","0PA3",,"0PA3",,,
7480,"0PA4","small_airport","Ecko Field",40.23759841918945,-76.72470092773438,380,"NA","US","US-PA","Hummelstown","no","0PA4",,"0PA4",,,
7481,"0PA5","small_airport","Fisher Airport",41.49449920654297,-79.83090209960938,1500,"NA","US","US-PA","Franklin","no","0PA5",,"0PA5",,,
7482,"0PA6","small_airport","Hostetler Airport",40.63090133666992,-77.85030364990234,760,"NA","US","US-PA","Huntingdon","no","0PA6",,"0PA6",,,
7483,"0PA7","small_airport","Linvill Airport",39.88479995727539,-75.41490173339844,180,"NA","US","US-PA","Media","no","0PA7",,"0PA7",,,
7484,"0PA8","heliport","Community Medical Center Nap Heliport",41.400001525878906,-75.63529968261719,508,"NA","US","US-PA","Scranton","no","0PA8",,"0PA8",,,
7485,"0PA9","heliport","Carson Heliport",40.33340072631836,-75.21630096435547,415,"NA","US","US-PA","Perkasie","no","0PA9",,"0PA9",,,
7486,"0PN0","small_airport","Fletcher Airport",41.443599700927734,-80.15390014648438,1335,"NA","US","US-PA","Sheakeyville","no","0PN0",,"0PN0",,,
7487,"0PN1","seaplane_base","Pete's Water Landing Seaplane Base",40.69940185546875,-79.618896484375,757,"NA","US","US-PA","Freeport","no","0PN1",,"0PN1",,,
7488,"0PN2","small_airport","Flying Acres Airport",41.07310104370117,-80.07029724121094,1247,"NA","US","US-PA","Slippery Rock","no","0PN2",,"0PN2",,,
7489,"0PN3","heliport","Wyeth-Ayerst Nr Heliport",40.15869903564453,-75.4634017944336,186,"NA","US","US-PA","Collegeville","no","0PN3",,"0PN3",,,
7490,"0PN4","small_airport","Kitner Airport",40.4128990173,-77.24140167239999,960,"NA","US","US-PA","New Bloomfield","no","0PN4",,"0PN4",,,
7491,"0PN5","small_airport","Nichols Airport",41.77920150756836,-79.59839630126953,1761,"NA","US","US-PA","Spartansburg","no","0PN5",,"0PN5",,,
7492,"0PN6","small_airport","Memmi Airport",40.16899871826172,-77.99250030517578,1138,"NA","US","US-PA","Three Springs","no","0PN6",,"0PN6",,,
7493,"0PN7","small_airport","Drillmore Acres Airport",40.128299713134766,-77.63140106201172,680,"NA","US","US-PA","Newburg","no","0PN7",,"0PN7",,,
